,osurl,ht_link,ht_matched,htid_count,year,title,subject_no
87,"https://explorer-api.opensyllabus.org/v1/works/50242527428792.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0801853621.json,True,2,['1996'],['Early Greek myth : a guide to literary and artistic sources'],0
88,"https://explorer-api.opensyllabus.org/v1/works/55851754718329.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/3438060108.json,True,1,['1971'],"[""A textual commentary on the Greek New Testament; a companion volume to the United Bible Societies' Greek New Testament (3d ed.)""]",0
89,"https://explorer-api.opensyllabus.org/v1/works/8864813009320.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0415394538.json,False,0,0,,0
90,"https://explorer-api.opensyllabus.org/v1/works/34651796144195.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9782251003832.json,True,1,['2002'],['Pastorales : Daphnis et Chloé'],0
91,"https://explorer-api.opensyllabus.org/v1/works/8169028054127.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9781479385195.json,False,0,0,,0
92,"https://explorer-api.opensyllabus.org/v1/works/8091718643504.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674994922.json,False,0,0,,0
93,"https://explorer-api.opensyllabus.org/v1/works/36996848289928.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0805444939.json,False,0,0,,0
94,"https://explorer-api.opensyllabus.org/v1/works/8753143857019.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0203427467.json,False,0,0,,0
95,"https://explorer-api.opensyllabus.org/v1/works/7773891308707.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/3847238272.json,False,0,0,,0
96,"https://explorer-api.opensyllabus.org/v1/works/49847390438018.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0300040725.json,True,3,['1990'],['Greek sculpture : an exploration'],0
97,"https://explorer-api.opensyllabus.org/v1/works/63084479709940.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674990633.json,True,3,['1914'],"['Hesiod, the Homeric hymns, and Homerica']",0
98,"https://explorer-api.opensyllabus.org/v1/works/7507602833458.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9782711600229.json,False,0,0,,0
99,"https://explorer-api.opensyllabus.org/v1/works/7722351365326.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780511865978.json,False,0,0,,0
100,"https://explorer-api.opensyllabus.org/v1/works/44349832300615.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780195041774.json,True,1,['1988'],['As the Romans did : a source book in Roman social history'],0
101,"https://explorer-api.opensyllabus.org/v1/works/58591943854134.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780195041774.json,True,1,['1988'],['As the Romans did : a source book in Roman social history'],0
102,"https://explorer-api.opensyllabus.org/v1/works/8126078381584.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780195041774.json,True,1,['1988'],['As the Romans did : a source book in Roman social history'],0
103,"https://explorer-api.opensyllabus.org/v1/works/63084479665710.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/014143936X.json,True,2,['2004'],['Greek tragedy'],0
104,"https://explorer-api.opensyllabus.org/v1/works/43241730739007.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0198721455.json,True,1,['1991'],['Scribes and scholars : a guide to the transmission of Greek and Latin literature'],0
105,"https://explorer-api.opensyllabus.org/v1/works/33122787789705.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9781118255155.json,False,0,0,,0
106,"https://explorer-api.opensyllabus.org/v1/works/7541962739340.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/1016759754.json,False,0,0,,0
107,"https://explorer-api.opensyllabus.org/v1/works/7507602833482.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/1432642723.json,False,0,0,,0
108,"https://explorer-api.opensyllabus.org/v1/works/51805895526963.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9781535957588.json,False,0,0,,0
109,"https://explorer-api.opensyllabus.org/v1/works/54185307407137.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780521092371.json,False,0,0,,0
110,"https://explorer-api.opensyllabus.org/v1/works/46643344836351.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780521417860.json,False,0,0,,0
111,"https://explorer-api.opensyllabus.org/v1/works/54056458387465.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780521417860.json,False,0,0,,0
112,"https://explorer-api.opensyllabus.org/v1/works/7559142697487.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780226203621.json,False,0,0,,0
113,"https://explorer-api.opensyllabus.org/v1/works/47167330846559.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0521622050.json,False,0,0,,0
114,"https://explorer-api.opensyllabus.org/v1/works/34540126995787.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/1405107707.json,False,0,0,,0
115,"https://explorer-api.opensyllabus.org/v1/works/33792802687292.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780226307916.json,False,0,0,,0
116,"https://explorer-api.opensyllabus.org/v1/works/8701604244847.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780806106373.json,False,0,0,,0
117,"https://explorer-api.opensyllabus.org/v1/works/33054068312666.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780853641773.json,True,3,['1975'],['The New international dictionary of New Testament theology'],0
118,"https://explorer-api.opensyllabus.org/v1/works/43997644983123.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780853641773.json,True,3,['1975'],['The New international dictionary of New Testament theology'],0
119,"https://explorer-api.opensyllabus.org/v1/works/7507602833428.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0801447038.json,False,0,0,,0
120,"https://explorer-api.opensyllabus.org/v1/works/41162966565366.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/8472266648.json,False,0,0,,0
121,"https://explorer-api.opensyllabus.org/v1/works/8340826996640.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9781134814138.json,False,0,0,,0
122,"https://explorer-api.opensyllabus.org/v1/works/36395552867128.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780310535850.json,False,0,0,,0
123,"https://explorer-api.opensyllabus.org/v1/works/47536698033824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0300046316.json,False,0,0,,0
124,"https://explorer-api.opensyllabus.org/v1/works/48704929137610.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0691069875.json,False,0,0,,0
125,"https://explorer-api.opensyllabus.org/v1/works/51419348468125.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780060911294.json,True,2,['1985'],['The reign of the phallus : sexual politics in ancient Athens'],0
126,"https://explorer-api.opensyllabus.org/v1/works/35631048689346.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0391019783.json,False,0,0,,0
127,"https://explorer-api.opensyllabus.org/v1/works/53661321398031.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0567010023.json,False,0,0,,0
128,"https://explorer-api.opensyllabus.org/v1/works/32487132627574.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0131504878.json,False,0,0,,0
129,"https://explorer-api.opensyllabus.org/v1/works/8211977638731.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780413772961.json,True,2,['2003'],['Four Roman comedies'],0
130,"https://explorer-api.opensyllabus.org/v1/works/56083682953975.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780413772961.json,True,2,['2003'],['Four Roman comedies'],0
131,"https://explorer-api.opensyllabus.org/v1/works/7550553015442.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780203759998.json,False,0,0,,0
132,"https://explorer-api.opensyllabus.org/v1/works/48808008354049.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780198642244.json,False,0,0,,0
133,"https://explorer-api.opensyllabus.org/v1/works/61538291477884.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780064601924.json,False,0,0,,0
134,"https://explorer-api.opensyllabus.org/v1/works/7584912592991.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9004206086.json,False,0,0,,0
135,"https://explorer-api.opensyllabus.org/v1/works/44813688767962.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9004206086.json,False,0,0,,0
136,"https://explorer-api.opensyllabus.org/v1/works/52458730555302.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780195067279.json,True,1,['1994'],['Women in the classical world : image and text'],0
137,"https://explorer-api.opensyllabus.org/v1/works/32908039424781.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0205176070.json,False,0,0,,0
138,"https://explorer-api.opensyllabus.org/v1/works/51754355919521.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0521276721.json,False,0,0,,0
139,"https://explorer-api.opensyllabus.org/v1/works/7876970527888.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780766182097.json,False,0,0,,0
140,"https://explorer-api.opensyllabus.org/v1/works/63625645601530.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/006074121X.json,False,0,0,,0
141,"https://explorer-api.opensyllabus.org/v1/works/7507602833462.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780140448870.json,False,0,0,,0
142,"https://explorer-api.opensyllabus.org/v1/works/7765301375308.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/8400071042.json,False,0,0,,0
143,"https://explorer-api.opensyllabus.org/v1/works/7928510139368.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9781282595118.json,False,0,0,,0
