,osurl,ht_link,htid
311,"https://explorer-api.opensyllabus.org/v1/works/51307679320341.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780813208428.json,mdp.39015036062480
312,"https://explorer-api.opensyllabus.org/v1/works/46291157517295.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0714120421.json,mdp.39015011723494
313,"https://explorer-api.opensyllabus.org/v1/works/53180285061328.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780822306108.json,dul1.ark:/13960/t5dc5t733
314,"https://explorer-api.opensyllabus.org/v1/works/53180285061328.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780822306108.json,uc1.32106006852062
315,"https://explorer-api.opensyllabus.org/v1/works/7610682306148.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9783150066928.json,ien.35556000097477
316,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,inu.30000076358062
317,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,inu.30000025818646
318,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,uc1.31822005633722
319,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,uc1.31175016632708
320,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,uc1.32106006238445
321,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,mdp.49015001304774
322,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,mdp.39015011529933
323,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,uc1.32106008970573
324,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,uc1.b4097912
325,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,mdp.39015025635403
326,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,mdp.39015011542092
327,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,mdp.49015002005545
328,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,uc1.32106008487578
329,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,uc1.31822005627252
330,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,uc1.31822023850597
331,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,uc1.31822002635258
332,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,uc1.31175000878549
333,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,uc1.32106006238437
334,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,mdp.39015038903285
335,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,mdp.39015025635411
336,"https://explorer-api.opensyllabus.org/v1/works/47974784696824.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674991996.json,uc1.32106005384877
337,"https://explorer-api.opensyllabus.org/v1/works/8057358904342.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0887348610.json,inu.30000088088798
338,"https://explorer-api.opensyllabus.org/v1/works/55559696941407.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0198143923.json,mdp.39015040980503
