,osurl,subject
149,"https://explorer-api.opensyllabus.org/v1/works/50483045599830.json
",Divorce
150,"https://explorer-api.opensyllabus.org/v1/works/50483045599830.json
",Marriage
151,"https://explorer-api.opensyllabus.org/v1/works/50483045599830.json
",Families
152,"https://explorer-api.opensyllabus.org/v1/works/8074539026137.json
",Discourse analysis.
153,"https://explorer-api.opensyllabus.org/v1/works/8074539026137.json
",Translating and interpreting.
154,"https://explorer-api.opensyllabus.org/v1/works/7988639699494.json
",Report writing.
155,"https://explorer-api.opensyllabus.org/v1/works/7988639699494.json
","Dissertations, Academic."
156,"https://explorer-api.opensyllabus.org/v1/works/34952443856685.json
",Hesiod
157,"https://explorer-api.opensyllabus.org/v1/works/34952443856685.json
","Gods, Greek"
158,"https://explorer-api.opensyllabus.org/v1/works/34952443856685.json
",Agriculture
159,"https://explorer-api.opensyllabus.org/v1/works/34952443856685.json
",Heracles (Greek mythology)
160,"https://explorer-api.opensyllabus.org/v1/works/34952443856685.json
","Didactic poetry, Greek"
161,"https://explorer-api.opensyllabus.org/v1/works/34952443856685.json
","Religious poetry, Greek"
162,"https://explorer-api.opensyllabus.org/v1/works/8890582762232.json
",Hesiod
163,"https://explorer-api.opensyllabus.org/v1/works/8890582762232.json
","Gods, Greek"
164,"https://explorer-api.opensyllabus.org/v1/works/8890582762232.json
",Agriculture
165,"https://explorer-api.opensyllabus.org/v1/works/8890582762232.json
",Heracles (Greek mythology)
166,"https://explorer-api.opensyllabus.org/v1/works/8890582762232.json
","Didactic poetry, Greek"
167,"https://explorer-api.opensyllabus.org/v1/works/8890582762232.json
","Religious poetry, Greek"
168,"https://explorer-api.opensyllabus.org/v1/works/47485158424815.json
",Euripides
169,"https://explorer-api.opensyllabus.org/v1/works/47485158424815.json
",Women
170,"https://explorer-api.opensyllabus.org/v1/works/47485158424815.json
",Women and literature
171,"https://explorer-api.opensyllabus.org/v1/works/47485158424815.json
",Feminism and literature
172,"https://explorer-api.opensyllabus.org/v1/works/47485158424815.json
","Mythology, Greek, in literature."
173,"https://explorer-api.opensyllabus.org/v1/works/47485158424815.json
",Greek drama (Tragedy)
174,"https://explorer-api.opensyllabus.org/v1/works/48825188221164.json
",Rome
175,"https://explorer-api.opensyllabus.org/v1/works/8280697416562.json
",Language and languages.
176,"https://explorer-api.opensyllabus.org/v1/works/8280697416562.json
",Translating and interpreting
177,"https://explorer-api.opensyllabus.org/v1/works/54872502174251.json
","Greek language, Biblical"
178,"https://explorer-api.opensyllabus.org/v1/works/46712064312315.json
",Sex
179,"https://explorer-api.opensyllabus.org/v1/works/46712064312315.json
",Greek language
180,"https://explorer-api.opensyllabus.org/v1/works/46712064312315.json
",Greek drama (Comedy)
181,"https://explorer-api.opensyllabus.org/v1/works/43868795963664.json
",Greek language
182,"https://explorer-api.opensyllabus.org/v1/works/55070070669526.json
",Electra in literature.
183,"https://explorer-api.opensyllabus.org/v1/works/55070070669526.json
",Greek drama (Tragedy)
184,"https://explorer-api.opensyllabus.org/v1/works/55070070669526.json
",Theater
185,"https://explorer-api.opensyllabus.org/v1/works/62362925169630.json
",Sophocles
186,"https://explorer-api.opensyllabus.org/v1/works/62362925169630.json
",Oedipus (Greek mythology)
187,"https://explorer-api.opensyllabus.org/v1/works/62362925169630.json
",Antigone (Greek mythology)
188,"https://explorer-api.opensyllabus.org/v1/works/62362925169630.json
",Thebes (Greece)
189,"https://explorer-api.opensyllabus.org/v1/works/52613349376151.json
",Sophocles
190,"https://explorer-api.opensyllabus.org/v1/works/8813273395212.json
",Exiles
191,"https://explorer-api.opensyllabus.org/v1/works/8813273395212.json
","Epistolary poetry, Latin"
192,"https://explorer-api.opensyllabus.org/v1/works/35802847379639.json
","Civilization, Homeric"
193,"https://explorer-api.opensyllabus.org/v1/works/37417755083035.json
",Greece
194,"https://explorer-api.opensyllabus.org/v1/works/37185826851670.json
",Greek language
195,"https://explorer-api.opensyllabus.org/v1/works/54984171325947.json
",Greek language
196,"https://explorer-api.opensyllabus.org/v1/works/37933151158299.json
","Civilization, Classical."
197,"https://explorer-api.opensyllabus.org/v1/works/37933151158299.json
",Art patronage
198,"https://explorer-api.opensyllabus.org/v1/works/37933151158299.json
","Art, Classical."
199,"https://explorer-api.opensyllabus.org/v1/works/37933151158299.json
","Art, Roman."
200,"https://explorer-api.opensyllabus.org/v1/works/37933151158299.json
",Italy
201,"https://explorer-api.opensyllabus.org/v1/works/37933151158299.json
",Rome
202,"https://explorer-api.opensyllabus.org/v1/works/37933151158299.json
",Rome
203,"https://explorer-api.opensyllabus.org/v1/works/48326972015559.json
",Sophocles.
204,"https://explorer-api.opensyllabus.org/v1/works/48326972015559.json
",Tragedy.
205,"https://explorer-api.opensyllabus.org/v1/works/48326972015559.json
",Heroes in literature.
206,"https://explorer-api.opensyllabus.org/v1/works/48326972015559.json
","Knowledge, Theory of, in literature."
207,"https://explorer-api.opensyllabus.org/v1/works/48326972015559.json
",Oedipus (Greek mythology) in literature.
208,"https://explorer-api.opensyllabus.org/v1/works/65274913018917.json
",Architecture
209,"https://explorer-api.opensyllabus.org/v1/works/54004918781237.json
",Translating and interpreting.
210,"https://explorer-api.opensyllabus.org/v1/works/56994216018834.json
",Translating and interpreting.
211,"https://explorer-api.opensyllabus.org/v1/works/34772055231148.json
","Art, Roman"
212,"https://explorer-api.opensyllabus.org/v1/works/49392123906900.json
","Art, Greek"
213,"https://explorer-api.opensyllabus.org/v1/works/8529805294621.json
",Sophocles
214,"https://explorer-api.opensyllabus.org/v1/works/8529805294621.json
",Sophocles.
215,"https://explorer-api.opensyllabus.org/v1/works/8529805294621.json
",Antigone (Greek mythology) in art
216,"https://explorer-api.opensyllabus.org/v1/works/8529805294621.json
",Antigone (Greek mythology) in literature
217,"https://explorer-api.opensyllabus.org/v1/works/61538291466609.json
",Greek language
218,"https://explorer-api.opensyllabus.org/v1/works/56882546869638.json
",Sophocles.
219,"https://explorer-api.opensyllabus.org/v1/works/56882546869638.json
",Sophocles.
220,"https://explorer-api.opensyllabus.org/v1/works/56882546869638.json
",Sophocles.
221,"https://explorer-api.opensyllabus.org/v1/works/56882546869638.json
",Tragedy.
222,"https://explorer-api.opensyllabus.org/v1/works/56882546869638.json
",Prophecies in literature.
223,"https://explorer-api.opensyllabus.org/v1/works/56882546869638.json
",Antigone (Greek mythology) in literature.
224,"https://explorer-api.opensyllabus.org/v1/works/56882546869638.json
",Oedipus (Greek mythology) in literature.
225,"https://explorer-api.opensyllabus.org/v1/works/56882546869638.json
",Thebes (Greece)
